	Chinese	English	Spanish
BNC-Spoken		-0.4967907850699311	
CREA-Spoken			-0.5486282786144819
HKUST/MTS	-0.3826551114088376		
ACTIV-ES			-0.5652649354473974
EsPal			-0.7647882350772549
OpenSubtitles	-0.560069860955547	-0.6384874819027777	-0.7774777232322057
SubIMDB		-0.6236359033104443	
SUBTLEX	-0.5874147192012094	-0.598964639999117	-0.6523649769030355
SUBTLEX-UK		-0.5960627173764973	
GINI		-0.5713309457575084	
Wikipedia	-0.4162818152521141	-0.5297475805340774	-0.6685801128032167
wordfreq	-0.412874616493391	-0.6171180154380237	-0.760376876371073
TUBELEX\textsubscript{default}	-0.5437706844522888	-0.6091215554633433	-0.7777678966313908
TUBELEX\textsubscript{regex}		-0.6091752766969251	-0.7784072736690192
TUBELEX\textsubscript{lemma}		-0.6080276799441381	-0.778489798223899
TUBELEX_entertainment	-0.4387626934667755	-0.5957775716034478	-0.7365834429533035
TUBELEX_entertainment_L		-0.5972588945051536	-0.739991872919906
TUBELEX_entertainment_R		-0.5959157386881279	-0.7382871896760359
TUBELEX_comedy	-0.0125303054136225	-0.4625686205657653	-0.4816395955437708
TUBELEX_comedy_L		-0.4769524408586812	-0.4571702088493656
TUBELEX_comedy_R		-0.4629367126891939	-0.4907782225041779
