	Japanese
CSJ	0.6192769678205762
LaboroTV1+2	0.520099088296397
OpenSubtitles	0.3925266664131027
GINI	1.0
Wikipedia	0.6946149345672163
wordfreq	0.5311306890010624
TUBELEX\textsubscript{default}	0.7927329083657806
TUBELEX\textsubscript{base}	0.7981182961501824
TUBELEX\textsubscript{lemma}	0.7340020084974626
TUBELEX_entertainment	0.754547578088659
TUBELEX_entertainment_L	0.7035924659197311
TUBELEX_entertainment_B	0.7588540929478815
TUBELEX_comedy	0.5592749715643024
TUBELEX_comedy_L	0.5292697258181306
TUBELEX_comedy_B	0.559133547664169
