id	language	context	target	complexity	lang	train	context_tokenized	target_tokenized
ja_1	japanese	それをエラストが連れ戻すことで恩を売り、なおかつ結婚を認めさせようという計画である。	連れ戻す	0.3	ja	True	それ|を|エ|ラスト|が|連れ戻す|こと|で|恩|を|売る|、|なおかつ|結婚|を|認める|させる|と|いう|計画|だ|ある|。	連れ戻す
ja_2	japanese	それをエラストが連れ戻すことで恩を売り、なおかつ結婚を認めさせようという計画である。	恩を売り	0.7	ja	True	それ|を|エ|ラスト|が|連れ戻す|こと|で|恩|を|売る|、|なおかつ|結婚|を|認める|させる|と|いう|計画|だ|ある|。	恩|を|売る
ja_3	japanese	それをエラストが連れ戻すことで恩を売り、なおかつ結婚を認めさせようという計画である。	なおかつ	0.5	ja	True	それ|を|エ|ラスト|が|連れ戻す|こと|で|恩|を|売る|、|なおかつ|結婚|を|認める|させる|と|いう|計画|だ|ある|。	なおかつ
ja_4	japanese	各種の自動車、自転車、市電など、ぜんぜん気にかけない。	各種の	0.2	ja	True	各種|の|自動|車|、|自転|車|、|市電|など|、|ぜんぜん|気|に|かける|ない|。	各種|の
ja_5	japanese	各種の自動車、自転車、市電など、ぜんぜん気にかけない。	市電	0.475	ja	True	各種|の|自動|車|、|自転|車|、|市電|など|、|ぜんぜん|気|に|かける|ない|。	市電
ja_6	japanese	各種の自動車、自転車、市電など、ぜんぜん気にかけない。	気にかけない	0.475	ja	True	各種|の|自動|車|、|自転|車|、|市電|など|、|ぜんぜん|気|に|かける|ない|。	気|に|かける|ない
ja_7	japanese	ドラマに関する感想を募集し、週ごとにピックアップして回答も掲載した。	募集し	0.1	ja	True	ドラマ|に|関する|感想|を|募集|する|、|週|ごと|に|ピックアップ|する|て|回答|も|掲載|する|た|。	募集|する
ja_8	japanese	ドラマに関する感想を募集し、週ごとにピックアップして回答も掲載した。	ピックアップして	0.05	ja	True	ドラマ|に|関する|感想|を|募集|する|、|週|ごと|に|ピックアップ|する|て|回答|も|掲載|する|た|。	ピックアップ|する|て
ja_9	japanese	ドラマに関する感想を募集し、週ごとにピックアップして回答も掲載した。	掲載した	0.4	ja	True	ドラマ|に|関する|感想|を|募集|する|、|週|ごと|に|ピックアップ|する|て|回答|も|掲載|する|た|。	掲載|する|た
ja_10	japanese	再びはじめに戻れば、{a,b}=cまたは{a,b}={c,d}である。	再び	0.075	ja	True	再び|はじめ|に|戻る|ば|、|{|a|,|b|}|=|c|また|は|{|a|,|b|}|=|{|c|,|d|}|だ|ある|。	再び
ja_11	japanese	再びはじめに戻れば、{a,b}=cまたは{a,b}={c,d}である。	はじめ	0.025	ja	True	再び|はじめ|に|戻る|ば|、|{|a|,|b|}|=|c|また|は|{|a|,|b|}|=|{|c|,|d|}|だ|ある|。	はじめ
ja_12	japanese	再びはじめに戻れば、{a,b}=cまたは{a,b}={c,d}である。	または	0.075	ja	True	再び|はじめ|に|戻る|ば|、|{|a|,|b|}|=|c|また|は|{|a|,|b|}|=|{|c|,|d|}|だ|ある|。	また|は
ja_13	japanese	旧基準の製品を使用する場合は、収納部分の扉のロックが壊れていたら、直ちに使用を中止してください。	旧	0.15	ja	True	旧|基準|の|製品|を|使用|する|場合|は|、|収納|部分|の|扉|の|ロック|が|壊れる|て|いる|た|、|直ちに|使用|を|中止|する|て|くださる|。	旧
ja_14	japanese	旧基準の製品を使用する場合は、収納部分の扉のロックが壊れていたら、直ちに使用を中止してください。	ロック	0.025	ja	True	旧|基準|の|製品|を|使用|する|場合|は|、|収納|部分|の|扉|の|ロック|が|壊れる|て|いる|た|、|直ちに|使用|を|中止|する|て|くださる|。	ロック
ja_15	japanese	旧基準の製品を使用する場合は、収納部分の扉のロックが壊れていたら、直ちに使用を中止してください。	直ちに	0.275	ja	True	旧|基準|の|製品|を|使用|する|場合|は|、|収納|部分|の|扉|の|ロック|が|壊れる|て|いる|た|、|直ちに|使用|を|中止|する|て|くださる|。	直ちに
ja_16	japanese	楽譜にはそれぞれ、長大な標題がリストによって書き添えられている。	長大な	0.475	ja	True	楽譜|に|は|それぞれ|、|長大|だ|標題|が|リスト|に|よる|て|書き添える|られる|て|いる|。	長大|だ
ja_17	japanese	楽譜にはそれぞれ、長大な標題がリストによって書き添えられている。	標題	0.375	ja	True	楽譜|に|は|それぞれ|、|長大|だ|標題|が|リスト|に|よる|て|書き添える|られる|て|いる|。	標題
ja_18	japanese	楽譜にはそれぞれ、長大な標題がリストによって書き添えられている。	書き添えられて	0.6	ja	True	楽譜|に|は|それぞれ|、|長大|だ|標題|が|リスト|に|よる|て|書き添える|られる|て|いる|。	書き添える|られる|て
ja_19	japanese	過去の作品で馴染み深かった音楽が一部変更されている（戦闘曲やレベルアップ音など）。	馴染み深かった	0.5	ja	True	過去|の|作品|で|馴染み深い|た|音楽|が|一部|変更|する|れる|て|いる|（|戦闘|曲|や|レベル|アップ|音|など|）|。	馴染み深い|た
ja_20	japanese	過去の作品で馴染み深かった音楽が一部変更されている（戦闘曲やレベルアップ音など）。	変更されて	0.1	ja	True	過去|の|作品|で|馴染み深い|た|音楽|が|一部|変更|する|れる|て|いる|（|戦闘|曲|や|レベル|アップ|音|など|）|。	変更|する|れる|て
ja_21	japanese	過去の作品で馴染み深かった音楽が一部変更されている（戦闘曲やレベルアップ音など）。	戦闘曲	0.425	ja	True	過去|の|作品|で|馴染み深い|た|音楽|が|一部|変更|する|れる|て|いる|（|戦闘|曲|や|レベル|アップ|音|など|）|。	戦闘|曲
ja_22	japanese	登場人物の衣装・小物に現代のデザインを応用したものが随所に登場している。	小物	0.225	ja	True	登場|人物|の|衣装|・|小物|に|現代|の|デザイン|を|応用|する|た|もの|が|随所|に|登場|する|て|いる|。	小物
ja_23	japanese	登場人物の衣装・小物に現代のデザインを応用したものが随所に登場している。	応用した	0.225	ja	True	登場|人物|の|衣装|・|小物|に|現代|の|デザイン|を|応用|する|た|もの|が|随所|に|登場|する|て|いる|。	応用|する|た
ja_24	japanese	登場人物の衣装・小物に現代のデザインを応用したものが随所に登場している。	随所	0.725	ja	True	登場|人物|の|衣装|・|小物|に|現代|の|デザイン|を|応用|する|た|もの|が|随所|に|登場|する|て|いる|。	随所
ja_25	japanese	店が繰り返し強盗被害にあっていたことなどを考慮したためとされる。	繰り返し	0.2	ja	True	店|が|繰り返す|強盗|被害|に|ある|て|いる|た|こと|など|を|考慮|する|た|ため|と|する|れる|。	繰り返し
ja_26	japanese	店が繰り返し強盗被害にあっていたことなどを考慮したためとされる。	強盗被害	0.4	ja	True	店|が|繰り返す|強盗|被害|に|ある|て|いる|た|こと|など|を|考慮|する|た|ため|と|する|れる|。	強盗|被害
