	English	Japanese	Spanish
BNC-Spoken	62.0		
CREA-Spoken			81.0
CSJ		57.0	
ACTIV-ES			128.0
EsPal			13.0
LaboroTV1+2		10.0	
OpenSubtitles	10.0	345.0	1.0
SubIMDB	23.0		
SUBTLEX	38.0		65.0
SUBTLEX-UK	27.0		
GINI	235.0	112.0	
Wikipedia	1.0	2.0	4.0
wordfreq	6.0	4.0	5.0
TUBELEX\textsubscript{default}	8.0	0.0	5.0
TUBELEX\textsubscript{regex}	7.0		5.0
TUBELEX\textsubscript{base}		0.0	
TUBELEX\textsubscript{lemma}	8.0	0.0	3.0
TUBELEX_entertainment	34.0	9.0	11.0
TUBELEX_entertainment_L	32.0	3.0	7.0
TUBELEX_entertainment_B		6.0	
TUBELEX_entertainment_R	34.0		11.0
TUBELEX_comedy	124.0	152.0	199.0
TUBELEX_comedy_L	94.0	127.0	119.0
TUBELEX_comedy_B		148.0	
TUBELEX_comedy_R	123.0		204.0
