	Japanese
CSJ	0.5233027706016183
LaboroTV1+2	0.5653165308765372
OpenSubtitles	0.3144306791318085
GINI	0.6332707179527676
Wikipedia	0.4656004837235883
wordfreq	0.5221971160801121
TUBELEX\textsubscript{default}	0.6236648183724393
TUBELEX\textsubscript{base}	0.6410727906611764
TUBELEX\textsubscript{lemma}	0.6374947693358357
TUBELEX_entertainment	0.5957240048608167
TUBELEX_entertainment_L	0.6076161897355636
TUBELEX_entertainment_B	0.611509640276495
TUBELEX_comedy	0.4422892539468436
TUBELEX_comedy_L	0.4449026268394363
TUBELEX_comedy_B	0.4548753845929038
