	English	Japanese	Spanish
	(Glasgow)	(Amano+Kondo)	(Moreno-Martínez)
BNC-Spoken	0.6420030780867103		
CREA-Spoken			0.3933309017364404
CSJ		0.2034345280296824	
ACTIV-ES			0.4027056601895227
EsPal			0.5695148570381844
LaboroTV1+2		0.3692391982575104	
OpenSubtitles	0.6498063154433726	0.3568898201375388	0.5788069632288148
SubIMDB	0.6747450420709585		
SUBTLEX	0.645581845312783		0.4411042288742542
SUBTLEX-UK	0.6747705564083699		
GINI	0.5735477605167618	0.4447379618422725	
Wikipedia	0.4473937349959174	0.4004575999021368	0.3996723804359021
wordfreq	0.638343091827731	0.3823825681664686	0.5101408126052058
TUBELEX\textsubscript{default}	0.6466850406112821	0.4856582972270665	0.5858965558923693
TUBELEX\textsubscript{regex}	0.645968491096352		0.5835339056869037
TUBELEX\textsubscript{base}		0.5044962964804817	
TUBELEX\textsubscript{lemma}	0.6408767756099236	0.4800117855953247	0.5875996204375157
TUBELEX_entertainment	0.6613165972638598	0.3811989991161282	0.5252003898414856
TUBELEX_entertainment_L	0.6543800394598699	0.3600286748897512	0.5367255758458686
TUBELEX_entertainment_B		0.3994336435810161	
TUBELEX_entertainment_R	0.6604240885747209		0.522668746047941
TUBELEX_comedy	0.6256482635258074	0.1421014411325842	0.3730782734793522
TUBELEX_comedy_L	0.6266025084587403	0.1073365184661886	0.3721038192164033
TUBELEX_comedy_B		0.1584277975445	
TUBELEX_comedy_R	0.6240449182067066		0.3766350998682813
