id	language	context	target	complexity	lang	train	context_tokenized	target_tokenized
en_1	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	external	0.05	en	True	(|if|your|robot|have|a|external|ROM|chip|,|then|that|be|the|one|that|be|pull|and|replace|.	external
en_2	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	pulled	0.075	en	True	(|if|your|robot|have|a|external|ROM|chip|,|then|that|be|the|one|that|be|pull|and|replace|.	pull
en_3	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	robot	0.1	en	True	(|if|your|robot|have|a|external|ROM|chip|,|then|that|be|the|one|that|be|pull|and|replace|.	robot
en_4	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	bank	0.05	en	True	a|bank|holiday|be|declare|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommend|the|government|sell|revenue|bond|and|reduce|the|tariff|(|tariff|of|1857|)|.	bank
en_5	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	recommended	0.1	en	True	a|bank|holiday|be|declare|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommend|the|government|sell|revenue|bond|and|reduce|the|tariff|(|tariff|of|1857|)|.	recommend
en_6	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	declared	0.05	en	True	a|bank|holiday|be|declare|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommend|the|government|sell|revenue|bond|and|reduce|the|tariff|(|tariff|of|1857|)|.	declare
en_7	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	remainder	0.1	en	True	a|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|control|conditional|statement|again|.	remainder
en_8	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	controlling	0.175	en	True	a|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|control|conditional|statement|again|.	control
en_9	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	conditional	0.175	en	True	a|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|control|conditional|statement|again|.	conditional
en_10	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	gone	0.075	en	True	a|good|introduction|tell|the|student|what|will|be|cover|,|how|it|relate|to|what|have|go|before|,|and|any|specific|prerequisite|knowledge|.	gone
en_11	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	prerequisite	0.4	en	True	a|good|introduction|tell|the|student|what|will|be|cover|,|how|it|relate|to|what|have|go|before|,|and|any|specific|prerequisite|knowledge|.	prerequisite
en_12	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	relates	0.075	en	True	a|good|introduction|tell|the|student|what|will|be|cover|,|how|it|relate|to|what|have|go|before|,|and|any|specific|prerequisite|knowledge|.	relate
en_13	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	micro	0.2272727272727272	en	True	a|more|modern|hardware|character|generator|can|be|build|around|one|of|this|small|micro|controller|(|e.g|.	micro
en_14	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	controllers	0.1818181818181818	en	True	a|more|modern|hardware|character|generator|can|be|build|around|one|of|this|small|micro|controller|(|e.g|.	controller
en_15	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	hardware	0.1818181818181818	en	True	a|more|modern|hardware|character|generator|can|be|build|around|one|of|this|small|micro|controller|(|e.g|.	hardware
en_16	english	A pickup is a magnet wrapped in a coil of wire.	wrapped	0.025	en	True	a|pickup|be|a|magnet|wrap|in|a|coil|of|wire|.	wrap
en_17	english	A pickup is a magnet wrapped in a coil of wire.	coil	0.15	en	True	a|pickup|be|a|magnet|wrap|in|a|coil|of|wire|.	coil
en_18	english	A pickup is a magnet wrapped in a coil of wire.	pickup	0.475	en	True	a|pickup|be|a|magnet|wrap|in|a|coil|of|wire|.	pickup
en_19	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	reagent	0.6818181818181818	en	True	a|positively|or|neutrally|charge|reagent|that|form|bond|by|accept|electron|from|a|nucleophile|.	reagent
en_20	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	electrons	0.2727272727272727	en	True	a|positively|or|neutrally|charge|reagent|that|form|bond|by|accept|electron|from|a|nucleophile|.	electron
en_21	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	neutrally	0.2272727272727272	en	True	a|positively|or|neutrally|charge|reagent|that|form|bond|by|accept|electron|from|a|nucleophile|.	neutrally
en_22	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	beautiful	0.05	en	True	a|small|number|of|person|undertake|such|a|challenge|and|then|discover|that|calculus|be|beautiful|in|and|of|itself|.	beautiful
en_23	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	undertake	0.225	en	True	a|small|number|of|person|undertake|such|a|challenge|and|then|discover|that|calculus|be|beautiful|in|and|of|itself|.	undertake
en_24	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	discover	0.1	en	True	a|small|number|of|person|undertake|such|a|challenge|and|then|discover|that|calculus|be|beautiful|in|and|of|itself|.	discover
en_25	english	A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.	seventh	0.0227272727272727	en	True	a|third|be|apparently|eliminate|by|a|erstwhile|death|Eater|identify|only|as|R.A.B.|,|but|this|turn|out|in|the|seventh|book|to|not|have|happen|.	seventh
en_26	english	A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.	eliminated	0.3181818181818182	en	True	a|third|be|apparently|eliminate|by|a|erstwhile|death|Eater|identify|only|as|R.A.B.|,|but|this|turn|out|in|the|seventh|book|to|not|have|happen|.	eliminate
en_27	english	A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.	erstwhile	0.9318181818181818	en	True	a|third|be|apparently|eliminate|by|a|erstwhile|death|Eater|identify|only|as|R.A.B.|,|but|this|turn|out|in|the|seventh|book|to|not|have|happen|.	erstwhile
en_28	english	A vector is a quantity which expresses both magnitude and direction.	magnitude	0.175	en	True	a|vector|be|a|quantity|which|express|both|magnitude|and|direction|.	magnitude
en_29	english	A vector is a quantity which expresses both magnitude and direction.	quantity	0.075	en	True	a|vector|be|a|quantity|which|express|both|magnitude|and|direction|.	quantity
en_30	english	A vector is a quantity which expresses both magnitude and direction.	vector	0.25	en	True	a|vector|be|a|quantity|which|express|both|magnitude|and|direction|.	vector
en_31	english	After Ron nearly dies drinking poisoned mead that was apparently intended for Professor Dumbledore, Hermione becomes so distraught that they end their feud for good.	distraught	0.3863636363636363	en	False	after|Ron|nearly|die|drink|poison|mead|that|be|apparently|intend|for|Professor|Dumbledore|,|Hermione|become|so|distraught|that|they|end|their|feud|for|good|.	distraught
en_32	english	After Ron nearly dies drinking poisoned mead that was apparently intended for Professor Dumbledore, Hermione becomes so distraught that they end their feud for good.	drinking	0.0454545454545454	en	False	after|Ron|nearly|die|drink|poison|mead|that|be|apparently|intend|for|Professor|Dumbledore|,|Hermione|become|so|distraught|that|they|end|their|feud|for|good|.	drinking
en_33	english	After the war, Hitler remained in the army and after receiving intelligence and oratory training, became an intelligence official tasked with infiltrating political parties and reporting to his superiors on their activities.	oratory	0.7045454545454546	en	False	after|the|war|,|Hitler|remain|in|the|army|and|after|receive|intelligence|and|oratory|training|,|become|a|intelligence|official|task|with|infiltrate|political|party|and|report|to|his|superior|on|their|activity|.	oratory
