id	language	context	target	complexity	lang	train	context_tokenized	target_tokenized
en_1	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	external	0.05	en	True	(|If|your|robot|has|an|external|ROM|chip|,|then|that|is|the|one|that|is|pulled|and|replaced|.	external
en_2	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	pulled	0.075	en	True	(|If|your|robot|has|an|external|ROM|chip|,|then|that|is|the|one|that|is|pulled|and|replaced|.	pulled
en_3	english	(If your robot has an external ROM chip, then that is the one that is pulled and replaced.	robot	0.1	en	True	(|If|your|robot|has|an|external|ROM|chip|,|then|that|is|the|one|that|is|pulled|and|replaced|.	robot
en_4	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	bank	0.05	en	True	A|bank|holiday|was|declared|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommended|the|government|selling|revenue|bonds|and|reducing|the|tariff|(|Tariff|of|1857|)|.	bank
en_5	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	recommended	0.1	en	True	A|bank|holiday|was|declared|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommended|the|government|selling|revenue|bonds|and|reducing|the|tariff|(|Tariff|of|1857|)|.	recommended
en_6	english	A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).	declared	0.05	en	True	A|bank|holiday|was|declared|in|October|,|1857|and|Secretary|of|the|Treasury|Howell|Cobb|recommended|the|government|selling|revenue|bonds|and|reducing|the|tariff|(|Tariff|of|1857|)|.	declared
en_7	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	remainder	0.1	en	True	A|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|controlling|conditional|statement|again|.	remainder
en_8	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	controlling	0.175	en	True	A|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|controlling|conditional|statement|again|.	controlling
en_9	english	A continue statement will skip the remainder of the block and start at the controlling conditional statement again.	conditional	0.175	en	True	A|continue|statement|will|skip|the|remainder|of|the|block|and|start|at|the|controlling|conditional|statement|again|.	conditional
en_10	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	gone	0.075	en	True	A|good|introduction|tells|the|student|what|will|be|covered|,|how|it|relates|to|what|has|gone|before|,|and|any|specific|prerequisite|knowledge|.	gone
en_11	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	prerequisite	0.4	en	True	A|good|introduction|tells|the|student|what|will|be|covered|,|how|it|relates|to|what|has|gone|before|,|and|any|specific|prerequisite|knowledge|.	prerequisite
en_12	english	A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.	relates	0.075	en	True	A|good|introduction|tells|the|student|what|will|be|covered|,|how|it|relates|to|what|has|gone|before|,|and|any|specific|prerequisite|knowledge|.	relates
en_13	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	micro	0.2272727272727272	en	True	A|more|modern|hardware|character|generator|can|be|build|around|one|of|these|small|micro|controllers|(|e.g|.	micro
en_14	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	controllers	0.1818181818181818	en	True	A|more|modern|hardware|character|generator|can|be|build|around|one|of|these|small|micro|controllers|(|e.g|.	controllers
en_15	english	A more modern hardware character generator can be build around one of these small micro controllers (e.g.	hardware	0.1818181818181818	en	True	A|more|modern|hardware|character|generator|can|be|build|around|one|of|these|small|micro|controllers|(|e.g|.	hardware
en_16	english	A pickup is a magnet wrapped in a coil of wire.	wrapped	0.025	en	True	A|pickup|is|a|magnet|wrapped|in|a|coil|of|wire|.	wrapped
en_17	english	A pickup is a magnet wrapped in a coil of wire.	coil	0.15	en	True	A|pickup|is|a|magnet|wrapped|in|a|coil|of|wire|.	coil
en_18	english	A pickup is a magnet wrapped in a coil of wire.	pickup	0.475	en	True	A|pickup|is|a|magnet|wrapped|in|a|coil|of|wire|.	pickup
en_19	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	reagent	0.6818181818181818	en	True	A|positively|or|neutrally|charged|reagent|that|forms|bonds|by|accepting|electrons|from|a|nucleophile|.	reagent
en_20	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	electrons	0.2727272727272727	en	True	A|positively|or|neutrally|charged|reagent|that|forms|bonds|by|accepting|electrons|from|a|nucleophile|.	electrons
en_21	english	A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.	neutrally	0.2272727272727272	en	True	A|positively|or|neutrally|charged|reagent|that|forms|bonds|by|accepting|electrons|from|a|nucleophile|.	neutrally
en_22	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	beautiful	0.05	en	True	A|smaller|number|of|persons|undertake|such|a|challenge|and|then|discover|that|calculus|is|beautiful|in|and|of|itself|.	beautiful
en_23	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	undertake	0.225	en	True	A|smaller|number|of|persons|undertake|such|a|challenge|and|then|discover|that|calculus|is|beautiful|in|and|of|itself|.	undertake
en_24	english	A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.	discover	0.1	en	True	A|smaller|number|of|persons|undertake|such|a|challenge|and|then|discover|that|calculus|is|beautiful|in|and|of|itself|.	discover
en_25	english	A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.	seventh	0.0227272727272727	en	True	A|third|was|apparently|eliminated|by|an|erstwhile|Death|Eater|identified|only|as|R.A.B.|,|but|this|turns|out|in|the|seventh|book|to|not|have|happened|.	seventh
en_26	english	A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.	eliminated	0.3181818181818182	en	True	A|third|was|apparently|eliminated|by|an|erstwhile|Death|Eater|identified|only|as|R.A.B.|,|but|this|turns|out|in|the|seventh|book|to|not|have|happened|.	eliminated
