	Japanese
CSJ	0.3116096507917862
LaboroTV1+2	0.431902979543952
OpenSubtitles	0.40845185757477
GINI	0.5572201780877539
Wikipedia	0.429134636937436
wordfreq	0.4418886744238034
TUBELEX\textsubscript{default}	0.5759266276823066
TUBELEX\textsubscript{base}	0.594422136125671
TUBELEX\textsubscript{lemma}	0.600651299905913
TUBELEX_entertainment	0.4820068985778357
TUBELEX_entertainment_L	0.4977735077211491
TUBELEX_entertainment_B	0.4993334443845142
TUBELEX_comedy	0.2197843439140105
TUBELEX_comedy_L	0.2011864465268757
TUBELEX_comedy_B	0.2249546977787943
